time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450400000	14.1506	20.6651	4.8487	2.80006	0.525784	lidar	0.521471	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.916	20.7349	4.85341	2.83889	0.558563	radar	0.0240148	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6446	20.7955	4.89122	2.8759	0.567338	lidar	1.68046	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3997	20.8242	4.89228	2.93615	0.644752	radar	0.139413	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1508	20.8642	4.89906	2.97175	0.648303	lidar	0.101555	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9212	20.9238	4.89238	2.98856	0.618057	radar	1.72218	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7129	20.9703	4.85933	3.01117	0.610401	lidar	1.37788	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4643	21.0104	4.87312	3.03702	0.602795	radar	0.150284	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2162	21.0474	4.88586	3.06157	0.595205	lidar	0.00696307	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.979	21.0673	4.88165	3.09199	0.601833	radar	0.643511	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7325	21.0379	4.87211	3.13747	0.621036	lidar	0.122247	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4869	21.0247	4.87007	3.17087	0.61983	radar	0.950157	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.265	21.0197	4.8462	3.19899	0.617919	lidar	0.51858	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0131	20.9808	4.85266	3.23734	0.623403	radar	3.98678	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7967	20.9439	4.82093	3.27286	0.630856	lidar	0.491	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5458	20.9477	4.82189	3.26459	0.534417	radar	0.136962	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2703	20.9769	4.87514	3.26382	0.496663	lidar	0.427077	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
